119,actions,count_1,count,"calculate,numbers,sum,tally"
120,actions,count_2,count,"calculate,numbers,sum,tally"
121,actions,cover_1,cover,"coat,conceal,hid,hide,wrap"
122,actions,cover_2,cover,"conceal,hid,hide,wrap"
123,actions/cooking,cover_bowl,cover bowl,
124,actions/cooking,cover_glass,cover glass,
125,actions/cooking,cover_pan,cover pan,close lid
126,actions,crack,crack,"break,broken,egg,fracture,split"
127,actions,crash_car,crash car,"accident,bad day,car wreck,collide,collision"
128,actions,crawl,crawl,creep
129,actions,cross_street,cross street,"crossing,crosswalk"
130,actions,crush,crush,"squash,squeeze"
131,actions,cry_1,cry,"cried,cries,crying,sob,weep,wipe tears"
132,actions,cry_2,cry,"cried,cries,crying,sob,wail,weep"
133,arts_crafts,cut_and_paste_1,cut and paste,arts and crafts
134,actions,cut_and_paste_2,cut and paste,"glue,scissors"
135,actions/grooming,cut_hair,cut hair,"groom,haircut"
136,actions,cut_paper,cut paper,scissors
137,general,dance_ball,dance,ball
138,actions,dance_boy,dance,
139,actions,dance_couple,dance,"dancers,jitterbug"
140,actions,dance_disco,dance,disco
141,actions,dance_formal_1,dance,"ballroom dancing,tango,waltz"
142,actions,dance_girl,dance,
143,actions,dance_haka,dance haka,
144,actions,dart_land,land,"dart,dartboard,darts,play darts,throw"
145,actions,decorate_christmas_tree,decorate christmas tree,"christmas,ornaments,tree"
146,actions,decorate_wall,decorate wall,"hang picture,wall"
147,actions,deliver_mail,deliver mail,letters
148,actions,describe,describe,explain
149,actions,design,design,"create,invent,plan"
150,actions,destroy_smash,destroy,"break,damage,ruin,smash"
151,actions,dial_phone,dial phone,"call,cell phone,telephone"
152,actions,dig,dig,"excavate,shovel,work"
153,actions,disappear,disappear,"depart,evaporate,vanish"
154,actions,do,do,"did,does,doing,done"
155,actions,donate_money,donate money,"contribute,give,give away,money,provide"
156,actions,don_t_care,don't care,
157,technology/computer,download,download,computer
158,actions,symbol00000158,do not,"did not,didn't,discontinue,doesn't,don't,stop"
159,actions,do_not_2,do not,"discontinue,hold back,stop,stopped,stopping,wait"
160,communication,do_not_look,Do not look.,
161,communication,do_not_touch,Do not touch.,"don't touch,no touching"
162,communication,do_not_want,do not want,"don't want,no thank you,no thanks"
163,actions,draw,draw,"doodle,illustrate,sketch"
164,actions,draw_from_hat,draw from hat,pull
165,actions,dream,dream,"daydream,imagine,suppose,think,visualize"
166,actions/grooming,get_dressed,dress,"clothe,get dressed,put on"
167,actions/grooming,dress_button_up,dress,"button up,clothe,fasten,get dressed,put on"
168,actions/grooming,dress_hat,dress,put on hat
169,actions/grooming,dress_pull_down,dress,"clothe,get dressed,pull down,ut on,wear"
170,actions/eating,drink,drink,
171,actions,drive,drive,"control,operate,steer"
172,actions,drive_car,drive,"car,steer"
173,actions,drop,drop,"fall,release"
174,actions,drown,drown,sink
176,actions/grooming,dry_face,dry face,"clean,rub,wipe"
177,actions/grooming,dry_hands,dry hands,"clean,rub,wipe"
178,actions,dry_2,dry,"dry clothes,line dry"
179,actions/cleaning,dust,dust,clean
180,actions/cleaning,dust_duster,dust,"clean,duster,tidy"
181,actions,dye_fabric,dye fabric,stain
182,actions/grooming,dye_hair,dye hair,color hair
183,actions,earn,earn,"money,receive"
184,actions/eating,eat,eat,"ate,consume,eaten,eating,eats,feed"
185,actions/eating,eat_hot_dog,eat ,hot dog
186,actions/eating,eat_lunch,eat lunch,eat meal
187,actions/eating,eat_sandwich,eat ,sandwich
188,general,election,election,"appoint,elect,select,selection"
189,technology/computer,email,email,
190,actions/cleaning,empty_trash,empty trash,"empty trashcan,empty wastebasket,garbage"
191,actions,end,end,
192,actions,end_finish,end,"completed,done,finish,finished"
193,actions,enter,enter,"arrive,go in"
194,actions,enter_boy,enter,"arrive,go in"
195,actions,enter_girl,enter,"arrive,entered,entering,enters,go in"
196,actions,erase,erase,"correct,remove,rub"
197,actions,escape,escape,"flee,run"
198,actions,exercise_leg_lift,exercise,"leg lift,train"
199,actions,exercise_pull_up,exercise,"pull up,train"
200,actions,exercise_push_up,exercise,"push up,train"
201,actions,exercise_rings,exercise,"rings,train"
202,actions,exercise_sit_up_1,exercise,"sit up,train"
203,actions,exercise_sit_up_2,exercise,"sit up,stretch,train"
204,actions,exercise_stretch,exercise,"stretch,toe touch,train"
205,actions,exit,exit,"depart,leave"
206,actions,exit_boy,exit,"depart,leave"
207,actions,exit_girl,exit,"depart,leave"
208,actions,explode,explode,"bang,blast,bomb,detonate"
209,actions,explore,explore,"discover,treasure hunt,treasure map"
210,actions,fall_down_slip,fall down,"collapse,slip,slippery,trip,tumble"
211,actions/eating,feed,feed,"nourish,provide"
212,actions,fight,fight,"battle,box,boxing,brawl,clash,punch"
213,actions,file,file,"archive,store"
214,actions,fill,fill,"emptying,pour"
215,actions,find_1,find,"discover,discovered,finding,finds,found,locate,uncover"
216,actions,find_2,find,"finding,finds,found,locate,magnify"
217,actions,finish,finish,
219,actions,finished_all_done,finished,"all done,completed"
220,actions,fired,fired,"dismiss,lay off,pink slip,terminate"
221,actions,fire_set,set fire,"burn,ignite,light"
222,actions,fishing,fish,"angle,cast,catch,go fishing"
223,actions,fit,fit,"assemble,build,connect,join,joined,joining,joins,puzzle"
224,actions,fix_1,fix,"glue,mend,repair"
225,actions,fix_2,fix,"check,fixed,fixes,fixing,repair,restore"
226,actions,flip_turn_over,flip,"rotate,spin,turn over"
227,actions,float,float,"drift,raft"
228,actions,float_away,float,"balloon,drift,rise,soar"
229,actions,flow,flow,"course,current,stream,surge"
230,actions/grooming,flush_toilet,flush toilet,
231,actions,fly_airplane,fly,"aircraft,airplane,jet,plane,travel"
232,actions,fly_bird,fly,bird
233,actions,fly_kite,fly,kite
234,actions,fly_paper_plane,fly,paper airplane
235,actions,fold,fold,
236,actions,fold_paper,fold,"bend,crease"
237,actions,follow,follow,"pursue,track"
238,actions,forget,forget,"overlook,remember,think"
240,actions,symbol00000240,form,"clay,create,make mold,sculpt,shape"
241,actions/cooking,fry,fry,"cook,egg,heat"
242,actions,gain_weight,gain weight,"fatten,grow"
